decode_step,l2_retained_fraction,policy
63,0.9993153799190786,sliding_window__budget128
64,0.9992076947633839,sliding_window__budget128
65,0.9991768639738353,sliding_window__budget128
66,0.9991909526089298,sliding_window__budget128
67,0.9991359338562156,sliding_window__budget128
68,0.9979077470502766,sliding_window__budget128
69,0.9973068908749807,sliding_window__budget128
70,0.996447378003549,sliding_window__budget128
71,0.9963320067113263,sliding_window__budget128
72,0.9962311010999654,sliding_window__budget128
73,0.9962997533743156,sliding_window__budget128
74,0.9963788462252421,sliding_window__budget128
75,0.9962410528345128,sliding_window__budget128
76,0.9979631449773418,sliding_window__budget128
77,0.9964507387635368,sliding_window__budget128
78,0.9972499987336606,sliding_window__budget128
79,0.9965354676150148,sliding_window__budget128
80,0.9963186594114368,sliding_window__budget128
81,0.9964100247513705,sliding_window__budget128
82,0.9962296287444137,sliding_window__budget128
83,0.9964119805865613,sliding_window__budget128
84,0.9963601675852577,sliding_window__budget128
85,0.9964135047777506,sliding_window__budget128
86,0.9967316861242779,sliding_window__budget128
87,0.9965383241059126,sliding_window__budget128
88,0.9965189580863183,sliding_window__budget128
89,0.9964416001226714,sliding_window__budget128
90,0.9964916720973659,sliding_window__budget128
91,0.9964982507318894,sliding_window__budget128
92,0.9964673700219994,sliding_window__budget128
93,0.9964014989370589,sliding_window__budget128
94,0.9963315739314126,sliding_window__budget128
95,0.9961715368002545,sliding_window__budget128
96,0.9963478002505329,sliding_window__budget128
97,0.9963668198253557,sliding_window__budget128
0,0.8860000751884126,user_pinned__budget128__sink8
1,0.9994086125234839,user_pinned__budget128__sink8
2,0.9994414012613638,user_pinned__budget128__sink8
3,0.9991979521369676,user_pinned__budget128__sink8
4,0.9991657760839657,user_pinned__budget128__sink8
5,0.9991284168134548,user_pinned__budget128__sink8
6,0.9991903454493524,user_pinned__budget128__sink8
7,0.9990446844648184,user_pinned__budget128__sink8
8,0.9990802995199941,user_pinned__budget128__sink8
9,0.9990594353901742,user_pinned__budget128__sink8
10,0.9991011112018888,user_pinned__budget128__sink8
11,0.9990804747128343,user_pinned__budget128__sink8
12,0.9990933124057295,user_pinned__budget128__sink8
13,0.9990007433148388,user_pinned__budget128__sink8
14,0.9990799804829219,user_pinned__budget128__sink8
15,0.999115924983968,user_pinned__budget128__sink8
16,0.9991042179915122,user_pinned__budget128__sink8
17,0.9990701025120992,user_pinned__budget128__sink8
18,0.9990686156971871,user_pinned__budget128__sink8
19,0.999072349606591,user_pinned__budget128__sink8
20,0.999144467736234,user_pinned__budget128__sink8
21,0.9990665197104871,user_pinned__budget128__sink8
22,0.999046944295815,user_pinned__budget128__sink8
23,0.999098244680545,user_pinned__budget128__sink8
24,0.9990604509659496,user_pinned__budget128__sink8
25,0.9990529630465872,user_pinned__budget128__sink8
26,0.9991105492055268,user_pinned__budget128__sink8
27,0.9990903046013775,user_pinned__budget128__sink8
28,0.9991045858880025,user_pinned__budget128__sink8
29,0.999100541776104,user_pinned__budget128__sink8
30,0.9990741094593651,user_pinned__budget128__sink8
31,0.9990405454359205,user_pinned__budget128__sink8
32,0.9991145013613751,user_pinned__budget128__sink8
33,0.9990758544602989,user_pinned__budget128__sink8
34,0.9990682071435907,user_pinned__budget128__sink8
35,0.999066972944387,user_pinned__budget128__sink8
36,0.9991030120758762,user_pinned__budget128__sink8
37,0.9991005782078796,user_pinned__budget128__sink8
38,0.9991052776208156,user_pinned__budget128__sink8
39,0.9990982795508573,user_pinned__budget128__sink8
40,0.9990516581442459,user_pinned__budget128__sink8
41,0.9990937846678474,user_pinned__budget128__sink8
42,0.9991145061060411,user_pinned__budget128__sink8
43,0.9991022113384511,user_pinned__budget128__sink8
44,0.9991164942600579,user_pinned__budget128__sink8
45,0.9986337201218232,user_pinned__budget128__sink8
46,0.9990335524820694,user_pinned__budget128__sink8
47,0.9982117220849331,user_pinned__budget128__sink8
48,0.9986485832570325,user_pinned__budget128__sink8
49,0.9982397116702144,user_pinned__budget128__sink8
50,0.9982462696630701,user_pinned__budget128__sink8
51,0.9982251063051487,user_pinned__budget128__sink8
52,0.9981980987052236,user_pinned__budget128__sink8
53,0.9982055048307314,user_pinned__budget128__sink8
54,0.998464879248328,user_pinned__budget128__sink8
55,0.9984110602734348,user_pinned__budget128__sink8
56,0.9985597591711615,user_pinned__budget128__sink8
57,0.9985132032186205,user_pinned__budget128__sink8
58,0.9984615178912094,user_pinned__budget128__sink8
59,0.9987844531897387,user_pinned__budget128__sink8
60,0.998776286921617,user_pinned__budget128__sink8
61,0.9987229436815518,user_pinned__budget128__sink8
62,0.9986915749029578,user_pinned__budget128__sink8
63,0.9988198445710529,user_pinned__budget128__sink8
64,0.9988047619796482,user_pinned__budget128__sink8
65,0.9988428073071415,user_pinned__budget128__sink8
66,0.9988230324475526,user_pinned__budget128__sink8
67,0.9976294579646864,user_pinned__budget128__sink8
68,0.9986939144401537,user_pinned__budget128__sink8
69,0.9963687409766774,user_pinned__budget128__sink8
70,0.9970411013035235,user_pinned__budget128__sink8
71,0.9963398937433482,user_pinned__budget128__sink8
72,0.9963082391761191,user_pinned__budget128__sink8
73,0.9963104437059147,user_pinned__budget128__sink8
74,0.9960454086481818,user_pinned__budget128__sink8
75,0.996208504892121,user_pinned__budget128__sink8
76,0.9962437467239521,user_pinned__budget128__sink8
77,0.9961651569236384,user_pinned__budget128__sink8
78,0.9963919783439111,user_pinned__budget128__sink8
79,0.9962873327262161,user_pinned__budget128__sink8
80,0.9963225399139299,user_pinned__budget128__sink8
81,0.9961966077971811,user_pinned__budget128__sink8
82,0.9961734565211685,user_pinned__budget128__sink8
83,0.9960637443668988,user_pinned__budget128__sink8
84,0.9961836699139294,user_pinned__budget128__sink8
85,0.9962795639867754,user_pinned__budget128__sink8
86,0.9961430290182307,user_pinned__budget128__sink8
87,0.9960531328989635,user_pinned__budget128__sink8
